Participant,Water,Spicy,Heavy Metal,Tiger,Fork,Scientist,Helium,Kettle,Square,Mentor,Zebra,Chair,Argument,Raccoon,Razor,Artist,Tall,Harpoon,Minister,Gold,Gallon,Shovel
60ff265ad0d04a091f893b0b,Both,Both,Both,Both,Both,Both,Both,Both,Is not,Both,Both,Both,Is not,Is not,Is not,Is,Is,Is not,Is,Is not,Is not,Is not
6229dcc610fc8c78c0854951,Both,Both,Both,Is not,Both,Is not,Is not,Both,Is not,Is not,Is,Both,Is not,Both,Is not,Both,Is,Both,Both,Is not,Is not,Both
6133b177de3bb431932aad6c,Is not,Both,Is,Is not,Is,Is not,Is not,Both,Is not,Is not,Is not,Is not,Is not,Is not,Is not,Is not,Is,Is not,Is not,Is not,Is not,Is not
610602fcc8c22d54eba47b91@email.prolific.co,Both,Both,Both,Both,Both,Is not,Is not,Both,Is not,Is not,Both,Is not,Is not,Both,Both,Is,Both,Both,Is not,Is not,Is not,Is not
5b7ea99c6ce77a0001a6d948,Both,Both,Both,Both,Both,Both,Both,Both,Both,Both,Both,Both,Both,Both,Both,Both,Both,Both,Both,Both,Both,Both
5a863fb8f1408d0001768afa,Both,Both,Is,Is not,Is not,Both,Is not,Is not,Is not,Both,Is not,Is not,Both,Is not,Is not,Is,Is,Both,Is,Is not,Is not,Is not
614726b73ab8022a9edc7f45,Both,Both,Both,Both,Both,Both,Both,Both,Is not,Both,Both,Both,Is,Is,Both,Both,Is,Both,Both,Both,Is not,Both
614f2dbd8a5fdf9347f1cd49,Both,Both,Both,Both,Both,Both,Both,Is,Is not,Is not,Both,Both,Is,Both,Both,Is,Both,Both,Both,Both,Is not,Both
5eeadfc8f9a5a9206e2a5841,Both,Is,Both,Both,Both,Is not,Is not,Is not,Both,Both,Is not,Both,Both,Is not,Is not,Both,Is,Both,Is,Is not,Is not,Is not
6011d2b8b124c219f57c707e@email.prolific.co,Both,Both,Is,Both,Both,Both,Both,Both,Is not,Both,Both,Both,Both,Both,Both,Both,Is,Both,Both,Both,Is not,Both
5c7bc3509eabe400016d4900,Both,Both,Both,Both,Both,Both,Both,Both,Is not,Is not,Both,Both,Is not,Both,Is not,Both,Both,Both,Is not,Is not,Is not,Both
5a6107bb31b87a0001c6c49b,Both,Both,Is,Both,Is not,Both,Is not,Is not,Is not,Is not,Is not,Is not,Both,Is not,Is not,Both,Is,Is not,Both,Is not,Is,Is not
5b79e92cdb11320001c3d5da,Both,Is,Both,Both,Is not,Is,Is not,Is not,Is not,Is not,Both,Is not,Both,Is not,Both,Is not,Is,Both,Is not,Both,Is not,Both
5f2bffa8d4f0d601244ab240,Both,Both,Both,Is not,Both,Is not,Is not,Both,Is not,Is not,Is not,Is not,Is not,Is not,Both,Both,Is,Both,Both,Is not,Is not,Both
5f032a785c37574d93dc2fcc,Is not,Both,Both,Is not,Is not,Both,Is not,Both,Is not,Both,Is not,Both,Is,Is not,Both,Is,Both,Is,Is not,Is not,Is not,Is not
6090ac299f401568994bd6aa,Both,Both,Is,Is,Is,Is,Both,Both,Is,Is,Both,Both,Is not,Both,Both,Both,Both,Both,Both,Both,Both,Both
5ae1e99638df950001454b0e,Both,Both,Both,Is,Is not,Is not,Is not,Is not,Is not,Is not,Is not,Is not,Is not,Is not,Is not,Both,Is,Is not,Both,Is not,Is not,Is not
5c38dab0f0ae4c00011238c1,Both,Both,Both,Both,Both,Both,Both,Both,Is not,Both,Both,Both,Both,Both,Both,Both,Both,Both,Both,Both,Is not,Both
5bc0cacb228a7600013cf77e,Both,Both,Both,Both,Both,Both,Both,Both,Both,Both,Both,Both,Both,Both,Both,Both,Both,Both,Both,Both,Both,Both
60fd2a06fcc9e802dd5fd7b7,Both,Both,Both,Both,Both,Both,Both,Both,Both,Both,Both,Both,Both,Both,Both,Both,Both,Both,Both,Both,Is not,Both
5db6fa3b20430d000d2eb752,Is not,Both,Both,Is not,Both,Both,Is not,Is not,Is not,Both,Is not,Is not,Both,Is not,Is not,Is,Both,Is not,Is,Is not,Is not,Both
5c85883136f2450001c86ba9,Both,Both,Both,Both,Both,Both,Both,Both,Is not,Both,Both,Both,Both,Both,Both,Both,Both,Both,Both,Both,Is not,Both
606aa384e190cbb5947ed6ae,Both,Both,Both,Both,Both,Both,Both,Both,Is not,Both,Both,Both,Both,Both,Both,Both,Both,Both,Both,Both,Both,Both
5f2f0ace37658a2e315c4875,Both,Both,Both,Both,Is,Both,Both,Both,Both,Both,Is,Is,Both,Both,Both,Both,Is,Both,Both,Both,Both,Both
5e2b3472339bae18089f9c6d,Is not,Both,Both,Is not,Is not,Both,Is not,Is not,Is not,Is not,Is not,Both,Both,Is not,Is not,Is,Is,Is not,Is,Is not,Is,Both
5996cafd0ed7ae000199171d,Both,Both,Both,Both,Both,Both,Both,Both,Is not,Both,Both,Both,Both,Both,Both,Both,Is,Both,Both,Both,Is not,Both
60fcf7e8002c2c1b89b03b30,Both,Both,Is,Both,Both,Both,Both,Both,Both,Both,Both,Both,Both,Both,Both,Is,Both,Both,Both,Both,Both,Both
5fc175e1e8b4d40e74b123b3,Both,Is,Both,Is not,Both,Both,Is,Both,Is not,Both,Both,Both,Is,Is,Both,Is not,Is not,Both,Both,Both,Is not,Both
5e4d94e8ee0d4509aacdfbc8,Is not,Both,Is,Is not,Is not,Both,Is not,Is not,Is not,Is not,Is not,Is not,Both,Is not,Is not,Is,Both,Is not,Both,Is not,Is not,Is not
601958c0af6453017a0cbbd4,Both,Both,Both,Both,Both,Both,Both,Both,Both,Both,Both,Both,Both,Is,Both,Both,Is,Both,Both,Both,Is not,Both
5c16c04cd0194b0001e693f0,Both,Both,Both,Both,Both,Both,Both,Both,Is not,Both,Both,Both,Both,Both,Both,Both,Both,Both,Both,Both,Both,Both
5c68037e4ecdae0001d8b480,Both,Both,Is not,Is not,Both,Is not,Both,Both,Is,Is not,Is,Is not,Is not,Is not,Is not,Is,Is,Is,Is not,Is not,Is,Both
60c298f8c2328dfe272401d2,Is,Both,Both,Is,Both,Is,Is,Both,Is,Is not,Is,Both,Is not,Is,Both,Is,Is,Is not,Is not,Both,Is not,Is not
610711d4c064313c758fe4c2,Both,Both,Both,Both,Both,Both,Both,Both,Both,Both,Both,Both,Both,Both,Both,Both,Both,Both,Both,Both,Both,Both
6095dae9237f2262b67d51b5,Both,Is,Is,Is,Is,Is,Is,Is,Is,Is not,Both,Is,Is,Is,Is,Is,Is,Is,Both,Is,Is not,Is
60c3c8f790736ad8d329816b,Both,Both,Is,Is not,Is,Is,Is not,Is not,Is not,Both,Is not,Is not,Is not,Is not,Is not,Is,Is,Is not,Is,Is not,Is not,Is not
5fe70a2be144224fce79b148,Both,Is,Is,Both,Both,Both,Both,Both,Is not,Both,Both,Both,Both,Is,Both,Is,Is,Is,Is,Is,Both,Is
609d1224afa6945618b68f1f,Both,Both,Both,Is not,Both,Is not,Is not,Both,Is not,Both,Is not,Is not,Is not,Is not,Is not,Is,Both,Both,Is,Is not,Is not,Is not
5f56a6646e11c111125188bc,Both,Both,Is,Both,Is,Is,Is not,Both,Is not,Both,Is not,Both,Is,Both,Is not,Is,Is,Is not,Is,Both,Is not,Is not
611cdb36b5b791e2174ee88b,Both,Is,Both,Both,Is not,Both,Both,Is not,Is not,Is not,Both,Is not,Both,Is not,Both,Both,Both,Is not,Both,Is not,Is not,Both
5f68d4c59b202b055cc873e5,Is not,Is,Is,Both,Is not,Is not,Is not,Is not,Is not,Is not,Is,Is not,Both,Is not,Is not,Is,Is,Is not,Both,Is not,Is not,Is not
5ce7046a9390750017b64ac6,Both,Both,Both,Is not,Is not,Is not,Both,Is not,Is,Is not,Is not,Is not,Is not,Is not,Is not,Both,Both,Is not,Is not,Is not,Is not,Both
5f7636517eea510aeb2e8433,Both,Both,Is,Both,Is,Is,Both,Both,Is not,Is not,Both,Both,Both,Both,Both,Is,Is not,Both,Is,Both,Both,Both
5e52e5e02d48ca3042df7f25,Is not,Both,Both,Is not,Is not,Both,Is not,Is not,Is not,Is not,Is not,Is not,Is not,Is not,Is not,Both,Both,Is not,Is,Is not,Is not,Is not
5e5bd0b15bb3123a2e2a2c07,Is not,Both,Both,Both,Is not,Both,Is not,Is not,Is not,Both,Both,Is not,Is not,Both,Both,Is,Both,Is not,Is,Is not,Is not,Is not
5c5b50e8fbf35700018c8dde,Both,Both,Is,Is not,Both,Is not,Is not,Both,Is not,Both,Is not,Both,Is not,Is not,Is not,Is,Is,Both,Both,Is not,Is not,Both
627e79a6e1f2b10601861ca6,Both,Both,Both,Is not,Is not,Both,Is not,Is not,Is,Is not,Both,Is not,Is not,Both,Both,Is not,Is,Is not,Is not,Is not,Is not,Both
600713a1ef06551629886703,Is not,Both,Both,Both,Is not,Both,Is,Is not,Is not,Is not,Both,Both,Is not,Is,Is not,Is,Both,Is not,Is not,Is,Is not,Both
