"","Participant","Item","Rating","CategoryType"
"1","628794619215a22e47b640bd","Water",1,"Natural"
"2","628794619215a22e47b640bd","Spicy",4,"Vague"
"3","628794619215a22e47b640bd","Heavy.Metal",3,"Value"
"4","628794619215a22e47b640bd","Tiger",1,"Natural"
"5","628794619215a22e47b640bd","Fork",2,"Artifact"
"6","628794619215a22e47b640bd","Scientist",1,"Value"
"7","628794619215a22e47b640bd","Helium",1,"Natural"
"8","628794619215a22e47b640bd","Kettle",3,"Artifact"
"9","628794619215a22e47b640bd","Square",1,"Definite"
"10","628794619215a22e47b640bd","Mentor",4,"Value"
"11","628794619215a22e47b640bd","Zebra",1,"Natural"
"12","628794619215a22e47b640bd","Chair",3,"Artifact"
"13","628794619215a22e47b640bd","Argument",4,"Value"
"14","628794619215a22e47b640bd","Raccoon",1,"Natural"
"15","628794619215a22e47b640bd","Razor",3,"Artifact"
"16","628794619215a22e47b640bd","Artist",6,"Value"
"17","628794619215a22e47b640bd","Tall",6,"Vague"
"18","628794619215a22e47b640bd","Harpoon",3,"Artifact"
"19","628794619215a22e47b640bd","Minister",5,"Value"
"20","628794619215a22e47b640bd","Gold",1,"Natural"
"21","628794619215a22e47b640bd","Gallon",1,"Definite"
"22","628794619215a22e47b640bd","Shovel",2,"Artifact"
"23","62ed7304603710301dcf5dee","Water",1,"Natural"
"24","62ed7304603710301dcf5dee","Spicy",4,"Vague"
"25","62ed7304603710301dcf5dee","Heavy.Metal",7,"Value"
"26","62ed7304603710301dcf5dee","Tiger",1,"Natural"
"27","62ed7304603710301dcf5dee","Fork",1,"Artifact"
"28","62ed7304603710301dcf5dee","Scientist",1,"Value"
"29","62ed7304603710301dcf5dee","Helium",1,"Natural"
"30","62ed7304603710301dcf5dee","Kettle",1,"Artifact"
"31","62ed7304603710301dcf5dee","Square",7,"Definite"
"32","62ed7304603710301dcf5dee","Mentor",1,"Value"
"33","62ed7304603710301dcf5dee","Zebra",1,"Natural"
"34","62ed7304603710301dcf5dee","Chair",1,"Artifact"
"35","62ed7304603710301dcf5dee","Argument",1,"Value"
"36","62ed7304603710301dcf5dee","Raccoon",1,"Natural"
"37","62ed7304603710301dcf5dee","Razor",1,"Artifact"
"38","62ed7304603710301dcf5dee","Artist",1,"Value"
"39","62ed7304603710301dcf5dee","Tall",4,"Vague"
"40","62ed7304603710301dcf5dee","Harpoon",1,"Artifact"
"41","62ed7304603710301dcf5dee","Minister",1,"Value"
"42","62ed7304603710301dcf5dee","Gold",1,"Natural"
"43","62ed7304603710301dcf5dee","Gallon",1,"Definite"
"44","62ed7304603710301dcf5dee","Shovel",1,"Artifact"
"45","5e52803583c96c28bbb95f2b","Water",7,"Natural"
"46","5e52803583c96c28bbb95f2b","Spicy",7,"Vague"
"47","5e52803583c96c28bbb95f2b","Heavy.Metal",1,"Value"
"48","5e52803583c96c28bbb95f2b","Tiger",4,"Natural"
"49","5e52803583c96c28bbb95f2b","Fork",3,"Artifact"
"50","5e52803583c96c28bbb95f2b","Scientist",1,"Value"
"51","5e52803583c96c28bbb95f2b","Helium",4,"Natural"
"52","5e52803583c96c28bbb95f2b","Kettle",2,"Artifact"
"53","5e52803583c96c28bbb95f2b","Square",1,"Definite"
"54","5e52803583c96c28bbb95f2b","Mentor",1,"Value"
"55","5e52803583c96c28bbb95f2b","Zebra",3,"Natural"
"56","5e52803583c96c28bbb95f2b","Chair",2,"Artifact"
"57","5e52803583c96c28bbb95f2b","Argument",1,"Value"
"58","5e52803583c96c28bbb95f2b","Raccoon",3,"Natural"
"59","5e52803583c96c28bbb95f2b","Razor",1,"Artifact"
"60","5e52803583c96c28bbb95f2b","Artist",5,"Value"
"61","5e52803583c96c28bbb95f2b","Tall",6,"Vague"
"62","5e52803583c96c28bbb95f2b","Harpoon",2,"Artifact"
"63","5e52803583c96c28bbb95f2b","Minister",4,"Value"
"64","5e52803583c96c28bbb95f2b","Gold",4,"Natural"
"65","5e52803583c96c28bbb95f2b","Gallon",1,"Definite"
"66","5e52803583c96c28bbb95f2b","Shovel",1,"Artifact"
"67","60ce6b0047a115f81d3b6658","Water",2,"Natural"
"68","60ce6b0047a115f81d3b6658","Spicy",4,"Vague"
"69","60ce6b0047a115f81d3b6658","Heavy.Metal",5,"Value"
"70","60ce6b0047a115f81d3b6658","Tiger",2,"Natural"
"71","60ce6b0047a115f81d3b6658","Fork",3,"Artifact"
"72","60ce6b0047a115f81d3b6658","Scientist",3,"Value"
"73","60ce6b0047a115f81d3b6658","Helium",1,"Natural"
"74","60ce6b0047a115f81d3b6658","Kettle",2,"Artifact"
"75","60ce6b0047a115f81d3b6658","Square",1,"Definite"
"76","60ce6b0047a115f81d3b6658","Mentor",5,"Value"
"77","60ce6b0047a115f81d3b6658","Zebra",2,"Natural"
"78","60ce6b0047a115f81d3b6658","Chair",4,"Artifact"
"79","60ce6b0047a115f81d3b6658","Argument",5,"Value"
"80","60ce6b0047a115f81d3b6658","Raccoon",2,"Natural"
"81","60ce6b0047a115f81d3b6658","Razor",5,"Artifact"
"82","60ce6b0047a115f81d3b6658","Artist",5,"Value"
"83","60ce6b0047a115f81d3b6658","Tall",5,"Vague"
"84","60ce6b0047a115f81d3b6658","Harpoon",5,"Artifact"
"85","60ce6b0047a115f81d3b6658","Minister",5,"Value"
"86","60ce6b0047a115f81d3b6658","Gold",1,"Natural"
"87","60ce6b0047a115f81d3b6658","Gallon",1,"Definite"
"88","60ce6b0047a115f81d3b6658","Shovel",5,"Artifact"
"89","61f2acbfa09e72f23cbaf6ed","Water",1,"Natural"
"90","61f2acbfa09e72f23cbaf6ed","Spicy",5,"Vague"
"91","61f2acbfa09e72f23cbaf6ed","Heavy.Metal",7,"Value"
"92","61f2acbfa09e72f23cbaf6ed","Tiger",3,"Natural"
"93","61f2acbfa09e72f23cbaf6ed","Fork",2,"Artifact"
"94","61f2acbfa09e72f23cbaf6ed","Scientist",1,"Value"
"95","61f2acbfa09e72f23cbaf6ed","Helium",1,"Natural"
"96","61f2acbfa09e72f23cbaf6ed","Kettle",1,"Artifact"
"97","61f2acbfa09e72f23cbaf6ed","Square",1,"Definite"
"98","61f2acbfa09e72f23cbaf6ed","Mentor",1,"Value"
"99","61f2acbfa09e72f23cbaf6ed","Zebra",1,"Natural"
"100","61f2acbfa09e72f23cbaf6ed","Chair",5,"Artifact"
"101","61f2acbfa09e72f23cbaf6ed","Argument",1,"Value"
"102","61f2acbfa09e72f23cbaf6ed","Raccoon",1,"Natural"
"103","61f2acbfa09e72f23cbaf6ed","Razor",1,"Artifact"
"104","61f2acbfa09e72f23cbaf6ed","Artist",7,"Value"
"105","61f2acbfa09e72f23cbaf6ed","Tall",3,"Vague"
"106","61f2acbfa09e72f23cbaf6ed","Harpoon",5,"Artifact"
"107","61f2acbfa09e72f23cbaf6ed","Minister",6,"Value"
"108","61f2acbfa09e72f23cbaf6ed","Gold",1,"Natural"
"109","61f2acbfa09e72f23cbaf6ed","Gallon",1,"Definite"
"110","61f2acbfa09e72f23cbaf6ed","Shovel",5,"Artifact"
"111","6108b8adf055193355c51121","Water",1,"Natural"
"112","6108b8adf055193355c51121","Spicy",4,"Vague"
"113","6108b8adf055193355c51121","Heavy.Metal",5,"Value"
"114","6108b8adf055193355c51121","Tiger",2,"Natural"
"115","6108b8adf055193355c51121","Fork",7,"Artifact"
"116","6108b8adf055193355c51121","Scientist",5,"Value"
"117","6108b8adf055193355c51121","Helium",1,"Natural"
"118","6108b8adf055193355c51121","Kettle",6,"Artifact"
"119","6108b8adf055193355c51121","Square",1,"Definite"
"120","6108b8adf055193355c51121","Mentor",2,"Value"
"121","6108b8adf055193355c51121","Zebra",1,"Natural"
"122","6108b8adf055193355c51121","Chair",3,"Artifact"
"123","6108b8adf055193355c51121","Argument",4,"Value"
"124","6108b8adf055193355c51121","Raccoon",1,"Natural"
"125","6108b8adf055193355c51121","Razor",2,"Artifact"
"126","6108b8adf055193355c51121","Artist",7,"Value"
"127","6108b8adf055193355c51121","Tall",3,"Vague"
"128","6108b8adf055193355c51121","Harpoon",5,"Artifact"
"129","6108b8adf055193355c51121","Minister",2,"Value"
"130","6108b8adf055193355c51121","Gold",1,"Natural"
"131","6108b8adf055193355c51121","Gallon",1,"Definite"
"132","6108b8adf055193355c51121","Shovel",4,"Artifact"
"133","5fbbdfc2b3efb70009d81cf3","Water",1,"Natural"
"134","5fbbdfc2b3efb70009d81cf3","Spicy",5,"Vague"
"135","5fbbdfc2b3efb70009d81cf3","Heavy.Metal",6,"Value"
"136","5fbbdfc2b3efb70009d81cf3","Tiger",2,"Natural"
"137","5fbbdfc2b3efb70009d81cf3","Fork",3,"Artifact"
"138","5fbbdfc2b3efb70009d81cf3","Scientist",2,"Value"
"139","5fbbdfc2b3efb70009d81cf3","Helium",2,"Natural"
"140","5fbbdfc2b3efb70009d81cf3","Kettle",2,"Artifact"
"141","5fbbdfc2b3efb70009d81cf3","Square",1,"Definite"
"142","5fbbdfc2b3efb70009d81cf3","Mentor",1,"Value"
"143","5fbbdfc2b3efb70009d81cf3","Zebra",2,"Natural"
"144","5fbbdfc2b3efb70009d81cf3","Chair",2,"Artifact"
"145","5fbbdfc2b3efb70009d81cf3","Argument",1,"Value"
"146","5fbbdfc2b3efb70009d81cf3","Raccoon",2,"Natural"
"147","5fbbdfc2b3efb70009d81cf3","Razor",1,"Artifact"
"148","5fbbdfc2b3efb70009d81cf3","Artist",5,"Value"
"149","5fbbdfc2b3efb70009d81cf3","Tall",4,"Vague"
"150","5fbbdfc2b3efb70009d81cf3","Harpoon",5,"Artifact"
"151","5fbbdfc2b3efb70009d81cf3","Minister",3,"Value"
"152","5fbbdfc2b3efb70009d81cf3","Gold",1,"Natural"
"153","5fbbdfc2b3efb70009d81cf3","Gallon",1,"Definite"
"154","5fbbdfc2b3efb70009d81cf3","Shovel",3,"Artifact"
"155","60806d3f13bfdebc3a2dfcc5","Water",5,"Natural"
"156","60806d3f13bfdebc3a2dfcc5","Spicy",3,"Vague"
"157","60806d3f13bfdebc3a2dfcc5","Heavy.Metal",6,"Value"
"158","60806d3f13bfdebc3a2dfcc5","Tiger",2,"Natural"
"159","60806d3f13bfdebc3a2dfcc5","Fork",2,"Artifact"
"160","60806d3f13bfdebc3a2dfcc5","Scientist",2,"Value"
"161","60806d3f13bfdebc3a2dfcc5","Helium",2,"Natural"
"162","60806d3f13bfdebc3a2dfcc5","Kettle",1,"Artifact"
"163","60806d3f13bfdebc3a2dfcc5","Square",1,"Definite"
"164","60806d3f13bfdebc3a2dfcc5","Mentor",2,"Value"
"165","60806d3f13bfdebc3a2dfcc5","Zebra",1,"Natural"
"166","60806d3f13bfdebc3a2dfcc5","Chair",7,"Artifact"
"167","60806d3f13bfdebc3a2dfcc5","Argument",5,"Value"
"168","60806d3f13bfdebc3a2dfcc5","Raccoon",6,"Natural"
"169","60806d3f13bfdebc3a2dfcc5","Razor",4,"Artifact"
"170","60806d3f13bfdebc3a2dfcc5","Artist",6,"Value"
"171","60806d3f13bfdebc3a2dfcc5","Tall",2,"Vague"
"172","60806d3f13bfdebc3a2dfcc5","Harpoon",6,"Artifact"
"173","60806d3f13bfdebc3a2dfcc5","Minister",6,"Value"
"174","60806d3f13bfdebc3a2dfcc5","Gold",6,"Natural"
"175","60806d3f13bfdebc3a2dfcc5","Gallon",1,"Definite"
"176","60806d3f13bfdebc3a2dfcc5","Shovel",2,"Artifact"
"177","62d14cb0418c96de31ab4f37","Water",1,"Natural"
"178","62d14cb0418c96de31ab4f37","Spicy",5,"Vague"
"179","62d14cb0418c96de31ab4f37","Heavy.Metal",5,"Value"
"180","62d14cb0418c96de31ab4f37","Tiger",1,"Natural"
"181","62d14cb0418c96de31ab4f37","Fork",6,"Artifact"
"182","62d14cb0418c96de31ab4f37","Scientist",4,"Value"
"183","62d14cb0418c96de31ab4f37","Helium",1,"Natural"
"184","62d14cb0418c96de31ab4f37","Kettle",5,"Artifact"
"185","62d14cb0418c96de31ab4f37","Square",1,"Definite"
"186","62d14cb0418c96de31ab4f37","Mentor",1,"Value"
"187","62d14cb0418c96de31ab4f37","Zebra",1,"Natural"
"188","62d14cb0418c96de31ab4f37","Chair",6,"Artifact"
"189","62d14cb0418c96de31ab4f37","Argument",2,"Value"
"190","62d14cb0418c96de31ab4f37","Raccoon",1,"Natural"
"191","62d14cb0418c96de31ab4f37","Razor",7,"Artifact"
"192","62d14cb0418c96de31ab4f37","Artist",6,"Value"
"193","62d14cb0418c96de31ab4f37","Tall",6,"Vague"
"194","62d14cb0418c96de31ab4f37","Harpoon",6,"Artifact"
"195","62d14cb0418c96de31ab4f37","Minister",1,"Value"
"196","62d14cb0418c96de31ab4f37","Gold",1,"Natural"
"197","62d14cb0418c96de31ab4f37","Gallon",1,"Definite"
"198","62d14cb0418c96de31ab4f37","Shovel",6,"Artifact"
"199","6005331b282af2704b3e9854","Water",1,"Natural"
"200","6005331b282af2704b3e9854","Spicy",7,"Vague"
"201","6005331b282af2704b3e9854","Heavy.Metal",7,"Value"
"202","6005331b282af2704b3e9854","Tiger",1,"Natural"
"203","6005331b282af2704b3e9854","Fork",7,"Artifact"
"204","6005331b282af2704b3e9854","Scientist",7,"Value"
"205","6005331b282af2704b3e9854","Helium",6,"Natural"
"206","6005331b282af2704b3e9854","Kettle",6,"Artifact"
"207","6005331b282af2704b3e9854","Square",1,"Definite"
"208","6005331b282af2704b3e9854","Mentor",7,"Value"
"209","6005331b282af2704b3e9854","Zebra",1,"Natural"
"210","6005331b282af2704b3e9854","Chair",1,"Artifact"
"211","6005331b282af2704b3e9854","Argument",7,"Value"
"212","6005331b282af2704b3e9854","Raccoon",1,"Natural"
"213","6005331b282af2704b3e9854","Razor",1,"Artifact"
"214","6005331b282af2704b3e9854","Artist",7,"Value"
"215","6005331b282af2704b3e9854","Tall",1,"Vague"
"216","6005331b282af2704b3e9854","Harpoon",1,"Artifact"
"217","6005331b282af2704b3e9854","Minister",1,"Value"
"218","6005331b282af2704b3e9854","Gold",1,"Natural"
"219","6005331b282af2704b3e9854","Gallon",7,"Definite"
"220","6005331b282af2704b3e9854","Shovel",7,"Artifact"
"221","60c077729b5da5d988ffb7c0","Water",1,"Natural"
"222","60c077729b5da5d988ffb7c0","Spicy",4,"Vague"
"223","60c077729b5da5d988ffb7c0","Heavy.Metal",4,"Value"
"224","60c077729b5da5d988ffb7c0","Tiger",2,"Natural"
"225","60c077729b5da5d988ffb7c0","Fork",2,"Artifact"
"226","60c077729b5da5d988ffb7c0","Scientist",2,"Value"
"227","60c077729b5da5d988ffb7c0","Helium",2,"Natural"
"228","60c077729b5da5d988ffb7c0","Kettle",2,"Artifact"
"229","60c077729b5da5d988ffb7c0","Square",1,"Definite"
"230","60c077729b5da5d988ffb7c0","Mentor",1,"Value"
"231","60c077729b5da5d988ffb7c0","Zebra",1,"Natural"
"232","60c077729b5da5d988ffb7c0","Chair",2,"Artifact"
"233","60c077729b5da5d988ffb7c0","Argument",2,"Value"
"234","60c077729b5da5d988ffb7c0","Raccoon",4,"Natural"
"235","60c077729b5da5d988ffb7c0","Razor",3,"Artifact"
"236","60c077729b5da5d988ffb7c0","Artist",3,"Value"
"237","60c077729b5da5d988ffb7c0","Tall",5,"Vague"
"238","60c077729b5da5d988ffb7c0","Harpoon",4,"Artifact"
"239","60c077729b5da5d988ffb7c0","Minister",2,"Value"
"240","60c077729b5da5d988ffb7c0","Gold",2,"Natural"
"241","60c077729b5da5d988ffb7c0","Gallon",1,"Definite"
"242","60c077729b5da5d988ffb7c0","Shovel",2,"Artifact"
"243","59dfcd07e75b450001a68f05@email.prolific.co","Water",1,"Natural"
"244","59dfcd07e75b450001a68f05@email.prolific.co","Spicy",7,"Vague"
"245","59dfcd07e75b450001a68f05@email.prolific.co","Heavy.Metal",6,"Value"
"246","59dfcd07e75b450001a68f05@email.prolific.co","Tiger",2,"Natural"
"247","59dfcd07e75b450001a68f05@email.prolific.co","Fork",1,"Artifact"
"248","59dfcd07e75b450001a68f05@email.prolific.co","Scientist",4,"Value"
"249","59dfcd07e75b450001a68f05@email.prolific.co","Helium",1,"Natural"
"250","59dfcd07e75b450001a68f05@email.prolific.co","Kettle",1,"Artifact"
"251","59dfcd07e75b450001a68f05@email.prolific.co","Square",1,"Definite"
"252","59dfcd07e75b450001a68f05@email.prolific.co","Mentor",1,"Value"
"253","59dfcd07e75b450001a68f05@email.prolific.co","Zebra",1,"Natural"
"254","59dfcd07e75b450001a68f05@email.prolific.co","Chair",1,"Artifact"
"255","59dfcd07e75b450001a68f05@email.prolific.co","Argument",2,"Value"
"256","59dfcd07e75b450001a68f05@email.prolific.co","Raccoon",4,"Natural"
"257","59dfcd07e75b450001a68f05@email.prolific.co","Razor",1,"Artifact"
"258","59dfcd07e75b450001a68f05@email.prolific.co","Artist",7,"Value"
"259","59dfcd07e75b450001a68f05@email.prolific.co","Tall",5,"Vague"
"260","59dfcd07e75b450001a68f05@email.prolific.co","Harpoon",1,"Artifact"
"261","59dfcd07e75b450001a68f05@email.prolific.co","Minister",7,"Value"
"262","59dfcd07e75b450001a68f05@email.prolific.co","Gold",3,"Natural"
"263","59dfcd07e75b450001a68f05@email.prolific.co","Gallon",1,"Definite"
"264","59dfcd07e75b450001a68f05@email.prolific.co","Shovel",1,"Artifact"
"265","5cec316d7d69950001cdace2","Water",1,"Natural"
"266","5cec316d7d69950001cdace2","Spicy",4,"Vague"
"267","5cec316d7d69950001cdace2","Heavy.Metal",6,"Value"
"268","5cec316d7d69950001cdace2","Tiger",6,"Natural"
"269","5cec316d7d69950001cdace2","Fork",1,"Artifact"
"270","5cec316d7d69950001cdace2","Scientist",6,"Value"
"271","5cec316d7d69950001cdace2","Helium",5,"Natural"
"272","5cec316d7d69950001cdace2","Kettle",1,"Artifact"
"273","5cec316d7d69950001cdace2","Square",1,"Definite"
"274","5cec316d7d69950001cdace2","Mentor",1,"Value"
"275","5cec316d7d69950001cdace2","Zebra",1,"Natural"
"276","5cec316d7d69950001cdace2","Chair",1,"Artifact"
"277","5cec316d7d69950001cdace2","Argument",1,"Value"
"278","5cec316d7d69950001cdace2","Raccoon",1,"Natural"
"279","5cec316d7d69950001cdace2","Razor",1,"Artifact"
"280","5cec316d7d69950001cdace2","Artist",6,"Value"
"281","5cec316d7d69950001cdace2","Tall",4,"Vague"
"282","5cec316d7d69950001cdace2","Harpoon",3,"Artifact"
"283","5cec316d7d69950001cdace2","Minister",7,"Value"
"284","5cec316d7d69950001cdace2","Gold",3,"Natural"
"285","5cec316d7d69950001cdace2","Gallon",2,"Definite"
"286","5cec316d7d69950001cdace2","Shovel",2,"Artifact"
"287","601878814d91481231c83ecf","Water",6,"Natural"
"288","601878814d91481231c83ecf","Spicy",5,"Vague"
"289","601878814d91481231c83ecf","Heavy.Metal",6,"Value"
"290","601878814d91481231c83ecf","Tiger",5,"Natural"
"291","601878814d91481231c83ecf","Fork",5,"Artifact"
"292","601878814d91481231c83ecf","Scientist",7,"Value"
"293","601878814d91481231c83ecf","Helium",5,"Natural"
"294","601878814d91481231c83ecf","Kettle",4,"Artifact"
"295","601878814d91481231c83ecf","Square",1,"Definite"
"296","601878814d91481231c83ecf","Mentor",6,"Value"
"297","601878814d91481231c83ecf","Zebra",5,"Natural"
"298","601878814d91481231c83ecf","Chair",4,"Artifact"
"299","601878814d91481231c83ecf","Argument",4,"Value"
"300","601878814d91481231c83ecf","Raccoon",4,"Natural"
"301","601878814d91481231c83ecf","Razor",4,"Artifact"
"302","601878814d91481231c83ecf","Artist",4,"Value"
"303","601878814d91481231c83ecf","Tall",7,"Vague"
"304","601878814d91481231c83ecf","Harpoon",4,"Artifact"
"305","601878814d91481231c83ecf","Minister",5,"Value"
"306","601878814d91481231c83ecf","Gold",4,"Natural"
"307","601878814d91481231c83ecf","Gallon",6,"Definite"
"308","601878814d91481231c83ecf","Shovel",1,"Artifact"
"309","5e14de687d9adf000b603402","Water",1,"Natural"
"310","5e14de687d9adf000b603402","Spicy",6,"Vague"
"311","5e14de687d9adf000b603402","Heavy.Metal",5,"Value"
"312","5e14de687d9adf000b603402","Tiger",3,"Natural"
"313","5e14de687d9adf000b603402","Fork",5,"Artifact"
"314","5e14de687d9adf000b603402","Scientist",1,"Value"
"315","5e14de687d9adf000b603402","Helium",2,"Natural"
"316","5e14de687d9adf000b603402","Kettle",1,"Artifact"
"317","5e14de687d9adf000b603402","Square",1,"Definite"
"318","5e14de687d9adf000b603402","Mentor",1,"Value"
"319","5e14de687d9adf000b603402","Zebra",1,"Natural"
"320","5e14de687d9adf000b603402","Chair",2,"Artifact"
"321","5e14de687d9adf000b603402","Argument",1,"Value"
"322","5e14de687d9adf000b603402","Raccoon",3,"Natural"
"323","5e14de687d9adf000b603402","Razor",1,"Artifact"
"324","5e14de687d9adf000b603402","Artist",4,"Value"
"325","5e14de687d9adf000b603402","Tall",3,"Vague"
"326","5e14de687d9adf000b603402","Harpoon",3,"Artifact"
"327","5e14de687d9adf000b603402","Minister",4,"Value"
"328","5e14de687d9adf000b603402","Gold",1,"Natural"
"329","5e14de687d9adf000b603402","Gallon",1,"Definite"
"330","5e14de687d9adf000b603402","Shovel",1,"Artifact"
"331","5dae1520eeac2100152778a9","Water",1,"Natural"
"332","5dae1520eeac2100152778a9","Spicy",4,"Vague"
"333","5dae1520eeac2100152778a9","Heavy.Metal",5,"Value"
"334","5dae1520eeac2100152778a9","Tiger",2,"Natural"
"335","5dae1520eeac2100152778a9","Fork",2,"Artifact"
"336","5dae1520eeac2100152778a9","Scientist",2,"Value"
"337","5dae1520eeac2100152778a9","Helium",1,"Natural"
"338","5dae1520eeac2100152778a9","Kettle",2,"Artifact"
"339","5dae1520eeac2100152778a9","Square",1,"Definite"
"340","5dae1520eeac2100152778a9","Mentor",4,"Value"
"341","5dae1520eeac2100152778a9","Zebra",2,"Natural"
"342","5dae1520eeac2100152778a9","Chair",1,"Artifact"
"343","5dae1520eeac2100152778a9","Argument",1,"Value"
"344","5dae1520eeac2100152778a9","Raccoon",1,"Natural"
"345","5dae1520eeac2100152778a9","Razor",1,"Artifact"
"346","5dae1520eeac2100152778a9","Artist",3,"Value"
"347","5dae1520eeac2100152778a9","Tall",5,"Vague"
"348","5dae1520eeac2100152778a9","Harpoon",1,"Artifact"
"349","5dae1520eeac2100152778a9","Minister",2,"Value"
"350","5dae1520eeac2100152778a9","Gold",1,"Natural"
"351","5dae1520eeac2100152778a9","Gallon",1,"Definite"
"352","5dae1520eeac2100152778a9","Shovel",1,"Artifact"
"353","62ec4b4c7027e093f9048e5d","Water",1,"Natural"
"354","62ec4b4c7027e093f9048e5d","Spicy",5,"Vague"
"355","62ec4b4c7027e093f9048e5d","Heavy.Metal",4,"Value"
"356","62ec4b4c7027e093f9048e5d","Tiger",6,"Natural"
"357","62ec4b4c7027e093f9048e5d","Fork",2,"Artifact"
"358","62ec4b4c7027e093f9048e5d","Scientist",1,"Value"
"359","62ec4b4c7027e093f9048e5d","Helium",3,"Natural"
"360","62ec4b4c7027e093f9048e5d","Kettle",3,"Artifact"
"361","62ec4b4c7027e093f9048e5d","Square",1,"Definite"
"362","62ec4b4c7027e093f9048e5d","Mentor",2,"Value"
"363","62ec4b4c7027e093f9048e5d","Zebra",5,"Natural"
"364","62ec4b4c7027e093f9048e5d","Chair",4,"Artifact"
"365","62ec4b4c7027e093f9048e5d","Argument",4,"Value"
"366","62ec4b4c7027e093f9048e5d","Raccoon",5,"Natural"
"367","62ec4b4c7027e093f9048e5d","Razor",3,"Artifact"
"368","62ec4b4c7027e093f9048e5d","Artist",4,"Value"
"369","62ec4b4c7027e093f9048e5d","Tall",5,"Vague"
"370","62ec4b4c7027e093f9048e5d","Harpoon",4,"Artifact"
"371","62ec4b4c7027e093f9048e5d","Minister",3,"Value"
"372","62ec4b4c7027e093f9048e5d","Gold",5,"Natural"
"373","62ec4b4c7027e093f9048e5d","Gallon",1,"Definite"
"374","62ec4b4c7027e093f9048e5d","Shovel",4,"Artifact"
"375","58fdcd2be219d00001ee5aa0","Water",1,"Natural"
"376","58fdcd2be219d00001ee5aa0","Spicy",5,"Vague"
"377","58fdcd2be219d00001ee5aa0","Heavy.Metal",6,"Value"
"378","58fdcd2be219d00001ee5aa0","Tiger",1,"Natural"
"379","58fdcd2be219d00001ee5aa0","Fork",1,"Artifact"
"380","58fdcd2be219d00001ee5aa0","Scientist",3,"Value"
"381","58fdcd2be219d00001ee5aa0","Helium",1,"Natural"
"382","58fdcd2be219d00001ee5aa0","Kettle",1,"Artifact"
"383","58fdcd2be219d00001ee5aa0","Square",1,"Definite"
"384","58fdcd2be219d00001ee5aa0","Mentor",2,"Value"
"385","58fdcd2be219d00001ee5aa0","Zebra",1,"Natural"
"386","58fdcd2be219d00001ee5aa0","Chair",1,"Artifact"
"387","58fdcd2be219d00001ee5aa0","Argument",5,"Value"
"388","58fdcd2be219d00001ee5aa0","Raccoon",1,"Natural"
"389","58fdcd2be219d00001ee5aa0","Razor",1,"Artifact"
"390","58fdcd2be219d00001ee5aa0","Artist",6,"Value"
"391","58fdcd2be219d00001ee5aa0","Tall",6,"Vague"
"392","58fdcd2be219d00001ee5aa0","Harpoon",1,"Artifact"
"393","58fdcd2be219d00001ee5aa0","Minister",6,"Value"
"394","58fdcd2be219d00001ee5aa0","Gold",1,"Natural"
"395","58fdcd2be219d00001ee5aa0","Gallon",1,"Definite"
"396","58fdcd2be219d00001ee5aa0","Shovel",1,"Artifact"
"397","5de672702cf2045ed734e846","Water",2,"Natural"
"398","5de672702cf2045ed734e846","Spicy",4,"Vague"
"399","5de672702cf2045ed734e846","Heavy.Metal",7,"Value"
"400","5de672702cf2045ed734e846","Tiger",1,"Natural"
"401","5de672702cf2045ed734e846","Fork",2,"Artifact"
"402","5de672702cf2045ed734e846","Scientist",2,"Value"
"403","5de672702cf2045ed734e846","Helium",1,"Natural"
"404","5de672702cf2045ed734e846","Kettle",2,"Artifact"
"405","5de672702cf2045ed734e846","Square",1,"Definite"
"406","5de672702cf2045ed734e846","Mentor",5,"Value"
"407","5de672702cf2045ed734e846","Zebra",4,"Natural"
"408","5de672702cf2045ed734e846","Chair",2,"Artifact"
"409","5de672702cf2045ed734e846","Argument",2,"Value"
"410","5de672702cf2045ed734e846","Raccoon",3,"Natural"
"411","5de672702cf2045ed734e846","Razor",3,"Artifact"
"412","5de672702cf2045ed734e846","Artist",7,"Value"
"413","5de672702cf2045ed734e846","Tall",4,"Vague"
"414","5de672702cf2045ed734e846","Harpoon",5,"Artifact"
"415","5de672702cf2045ed734e846","Minister",6,"Value"
"416","5de672702cf2045ed734e846","Gold",1,"Natural"
"417","5de672702cf2045ed734e846","Gallon",1,"Definite"
"418","5de672702cf2045ed734e846","Shovel",2,"Artifact"
"419","5e249775e8ff3a7159953291","Water",1,"Natural"
"420","5e249775e8ff3a7159953291","Spicy",4,"Vague"
"421","5e249775e8ff3a7159953291","Heavy.Metal",6,"Value"
